customer_id,age,tenure,balance,debt_to_income_ratio,total_products_owned,nps,has_mobile_app,has_web_account,churn_risk_score,risk_level,churn_label
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
3449,37,29,65127.2,0.6103592821750501,3,10,1.0,1.0,1.0,High,Churn
652,47,36,2.84,21.696858129770206,2,8,1.0,1.0,1.0,High,Churn
2470,42,36,5.41,3.7387770493441823,3,10,1.0,1.0,1.0,High,Churn
1715,44,35,558.46,1.1923517921804825,2,10,1.0,1.0,1.0,High,Churn
1715,44,35,558.46,1.1923517921804825,2,10,1.0,1.0,1.0,High,Churn
1715,44,35,558.46,1.1923517921804825,2,10,1.0,1.0,1.0,High,Churn
652,47,36,2.84,21.696858129770206,2,8,1.0,1.0,1.0,High,Churn
652,47,36,2.84,21.696858129770206,2,8,1.0,1.0,1.0,High,Churn
652,47,36,2.84,21.696858129770206,2,8,1.0,1.0,1.0,High,Churn
1388,25,15,5.58,3.441301399800509,3,10,1.0,1.0,1.0,High,Churn
1388,25,15,5.58,3.441301399800509,3,10,1.0,1.0,1.0,High,Churn
2102,52,45,63.66,5.717702153808754,2,4,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
2269,28,19,62.74,26.636874040440336,1,10,1.0,1.0,1.0,High,Churn
3138,26,36,51498.24,2.9930278824324974,3,10,1.0,1.0,1.0,High,Churn
3138,26,36,51498.24,2.9930278824324974,3,10,1.0,1.0,1.0,High,Churn
3138,26,36,51498.24,2.9930278824324974,3,10,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
2102,52,45,63.66,5.717702153808754,2,4,1.0,1.0,1.0,High,Churn
2102,52,45,63.66,5.717702153808754,2,4,1.0,1.0,1.0,High,Churn
1388,25,15,5.58,3.441301399800509,3,10,1.0,1.0,1.0,High,Churn
2470,42,36,5.41,3.7387770493441823,3,10,1.0,1.0,1.0,High,Churn
2470,42,36,5.41,3.7387770493441823,3,10,1.0,1.0,1.0,High,Churn
619,32,36,-8.1,18.064482348637277,3,6,1.0,1.0,1.0,High,Churn
619,32,36,-8.1,18.064482348637277,3,6,1.0,1.0,1.0,High,Churn
619,32,36,-8.1,18.064482348637277,3,6,1.0,1.0,1.0,High,Churn
254,54,38,-8.31,4.0252137906698495,2,4,1.0,1.0,1.0,High,Churn
254,54,38,-8.31,4.0252137906698495,2,4,1.0,1.0,1.0,High,Churn
254,54,38,-8.31,4.0252137906698495,2,4,1.0,1.0,1.0,High,Churn
1574,39,36,510.7,3.070525352355796,1,10,1.0,1.0,1.0,High,Churn
1574,39,36,510.7,3.070525352355796,1,10,1.0,1.0,1.0,High,Churn
1574,39,36,510.7,3.070525352355796,1,10,1.0,1.0,1.0,High,Churn
866,42,28,510.47,8.555790496390223,3,10,1.0,1.0,1.0,High,Churn
866,42,28,510.47,8.555790496390223,3,10,1.0,1.0,1.0,High,Churn
2680,50,36,627.54,4.840652546414881,3,8,1.0,1.0,1.0,High,Churn
2680,50,36,627.54,4.840652546414881,3,8,1.0,1.0,1.0,High,Churn
2833,29,36,621.28,8.679283125144371,3,5,1.0,1.0,1.0,High,Churn
2833,29,36,621.28,8.679283125144371,3,5,1.0,1.0,1.0,High,Churn
2833,29,36,621.28,8.679283125144371,3,5,1.0,1.0,1.0,High,Churn
2417,42,33,58.05,6.600217860608821,3,10,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
2733,23,20,70.22,3.759472636132665,1,0,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
1393,50,46,64.58,7.770890847742207,4,10,1.0,1.0,1.0,High,Churn
3697,40,32,77.66,8.141490919742237,1,5,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3445,49,40,75.09,6.689365406921481,3,6,1.0,1.0,1.0,High,Churn
3680,45,34,16949.6,3.903080685196636,3,7,1.0,1.0,1.0,High,Churn
3680,45,34,16949.6,3.903080685196636,3,7,1.0,1.0,1.0,High,Churn
3680,45,34,16949.6,3.903080685196636,3,7,1.0,1.0,1.0,High,Churn
2326,30,36,15965.43,1.5792405169326047,1,10,1.0,1.0,1.0,High,Churn
2326,30,36,15965.43,1.5792405169326047,1,10,1.0,1.0,1.0,High,Churn
2326,30,36,15965.43,1.5792405169326047,1,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
2417,42,33,58.05,6.600217860608821,3,10,1.0,1.0,1.0,High,Churn
2417,42,33,58.05,6.600217860608821,3,10,1.0,1.0,1.0,High,Churn
75,29,23,-1215.08,40.50572316107575,3,0,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3701,57,36,14303.51,3.4266886506400485,4,10,1.0,1.0,1.0,High,Churn
3697,40,32,77.66,8.141490919742237,1,5,1.0,1.0,1.0,High,Churn
2941,50,36,80.44,9.213597415167389,1,8,1.0,1.0,1.0,High,Churn
2941,50,36,80.44,9.213597415167389,1,8,1.0,1.0,1.0,High,Churn
