customer_id,income,balance,customer_lifetime_value,debt,tenure,credit_default,days_from_last_transaction,avg_transaction_amt,num_transactions,digital_engagement_score,total_products_owned,transaction_freq,segment
217,1424.28,-339.05,243.87,15283.08,26,1,50.0,23.58,1.0,0.18115199142704053,2,0.041666666666666664,Budget-conscious
179,1424.28,-339.05,259.91,12630.49,24,1,130.0,50.2,1.0,0.6233416681550277,4,0.041666666666666664,Budget-conscious
81,1424.28,-339.05,224.93,21609.58,10,1,478.0,42.39,1.0,0.44714949098053225,2,0.1,Budget-conscious
50,1424.28,-339.05,355.19,42360.33,27,1,759.0,0.0,0.0,0.3950383997142347,1,0.0,At risk / inactive customers
13,1424.28,-339.05,299.71,36324.75,27,1,278.0,29.01,1.0,0.3500446508305054,1,0.041666666666666664,Budget-conscious
341,1424.28,-339.05,153.76,12312.03,16,1,759.0,0.0,0.0,0.38551705661725305,1,0.0,At risk / inactive customers
573,1424.28,-339.05,283.68,42360.33,36,1,759.0,0.0,0.0,0.16783175567065545,2,0.0,At risk / inactive customers
614,1424.28,-339.05,260.53,20375.85,36,1,759.0,0.0,0.0,0.4296124307912127,3,0.0,At risk / inactive customers
418,1424.28,-339.05,241.01,9185.56,23,1,455.0,15.26,1.0,0.3533452402214681,2,0.043478260869565216,Budget-conscious
315,1424.28,-339.05,254.5,24637.02,21,1,759.0,0.0,0.0,0.6140025004465083,4,0.0,At risk / inactive customers
365,1424.28,-339.05,359.39,10234.03,34,1,759.0,0.0,0.0,0.5123004107876407,2,0.0,At risk / inactive customers
255,1424.28,-339.05,250.12,27672.27,36,1,759.0,0.0,0.0,0.4634077513841757,1,0.0,At risk / inactive customers
94,1424.28,-339.05,368.36,28279.15,31,1,343.0,44.83,1.0,0.5133523843543489,3,0.041666666666666664,Budget-conscious
247,1424.28,-339.05,179.46,16485.86,15,1,759.0,0.0,0.0,0.5222021789605287,1,0.0,At risk / inactive customers
